Camera_Id,Direction,Vehicle_Count,Density,Date,Time,Latitude,Longitude,Is_Weekday,Is_Peak,Jam
9703,BKE/PIE,1,3.333333333333333,2024-01-29,17:05:07,1.422857,103.773005,1,0,0
3796,CHANGI,9,29.999999999999996,2024-01-29,17:05:02,1.297512569,103.8983019,1,0,1
3796,AYE/CITY,1,3.333333333333333,2024-01-29,17:05:02,1.297512569,103.8983019,1,0,0
1111,LOYANG AVE,2,6.666666666666666,2024-01-29,17:05:08,1.365434,103.953997,1,0,0
1111,SLE,3,9.999999999999998,2024-01-29,17:05:08,1.365434,103.953997,1,0,0
9704,TPE,0,0.0,2024-01-29,17:05:07,1.42214311,103.79542062,1,0,0
9704,BKE,3,9.999999999999998,2024-01-29,17:05:07,1.42214311,103.79542062,1,0,0
6713,JURONG,7,23.33333333333333,2024-01-29,17:05:03,1.340298,103.945652,1,0,1
6713,CHANGI,2,6.666666666666666,2024-01-29,17:05:03,1.340298,103.945652,1,0,0
6716,CHANGI,3,9.999999999999998,2024-01-29,17:05:03,1.322893,103.6635051,1,0,0
6716,AYE,18,59.99999999999999,2024-01-29,17:05:03,1.322893,103.6635051,1,0,1
7793,KPE/SLE,0,0.0,2024-01-29,17:05:03,1.37704704,103.92946983,1,0,0
7793,PIE,4,13.333333333333332,2024-01-29,17:05:03,1.37704704,103.92946983,1,0,0
7793,PASIR RIS DR 12,6,19.999999999999996,2024-01-29,17:05:03,1.37704704,103.92946983,1,0,0
6705,JURONG,9,29.999999999999996,2024-01-29,17:05:04,1.332124,103.81768,1,0,1
6705,CHANGI,6,19.999999999999996,2024-01-29,17:05:04,1.332124,103.81768,1,0,0
9702,TPE,22,73.33333333333333,2024-01-29,17:05:03,1.39474081,103.81797086,1,0,1
9702,BKE,2,6.666666666666666,2024-01-29,17:05:03,1.39474081,103.81797086,1,0,0
5794,JURONG,1,3.333333333333333,2024-01-29,17:05:05,1.3309693,103.9168616,1,0,0
5794,CHANGI,0,0.0,2024-01-29,17:05:05,1.3309693,103.9168616,1,0,0
6706,CHANGI,9,29.999999999999996,2024-01-29,17:05:04,1.349428893,103.7952799,1,0,1
6706,JURONG,1,3.333333333333333,2024-01-29,17:05:04,1.349428893,103.7952799,1,0,0
4705,CITY,7,23.33333333333333,2024-01-29,17:05:00,1.32618,103.73028,1,0,1
4705,JURONG,5,16.666666666666664,2024-01-29,17:05:00,1.32618,103.73028,1,0,0
6708,CHANGI,10,33.33333333333333,2024-01-29,17:05:04,1.345996,103.69016,1,0,1
6708,TUAS,8,26.666666666666664,2024-01-29,17:05:04,1.345996,103.69016,1,0,1
6712,JURONG,6,19.999999999999996,2024-01-29,17:05:03,1.332691,103.770278,1,0,0
6712,CHANGI,2,6.666666666666666,2024-01-29,17:05:03,1.332691,103.770278,1,0,0
6710,JURONG,2,6.666666666666666,2024-01-29,17:05:04,1.344205,103.78577,1,0,0
6710,CHANGI,12,39.99999999999999,2024-01-29,17:05:04,1.344205,103.78577,1,0,1
1504,MCE (AYE),1,3.333333333333333,2024-01-29,17:05:04,1.29409891409364,103.876056196568,1,0,0
5798,JURONG,10,33.33333333333333,2024-01-29,17:05:04,1.32036078126842,103.877174116489,1,0,1
5798,CHANGI,6,19.999999999999996,2024-01-29,17:05:04,1.32036078126842,103.877174116489,1,0,0
4714,JURONG,8,26.666666666666664,2024-01-29,17:05:02,1.31023,103.76438,1,0,1
1113,TANAH MERAH COAST ROAD TOWARDS AVIATION PARK ROAD,1,3.333333333333333,2024-01-29,17:05:08,1.317036,103.988598,1,0,0
1113,TANAH MERAH COAST ROAD TOWARDS ECP,3,9.999999999999998,2024-01-29,17:05:08,1.317036,103.988598,1,0,0
1113,TANAH MERAH FERRY TERMINAL,0,0.0,2024-01-29,17:05:08,1.317036,103.988598,1,0,0
4704,MCE,4,13.333333333333332,2024-01-29,17:05:00,1.27877,103.82375,1,0,0
4704,CTE,1,3.333333333333333,2024-01-29,17:05:00,1.27877,103.82375,1,0,0
3797,CITY,5,16.666666666666664,2024-01-29,17:05:02,1.29565733262976,103.885283049309,1,0,0
3797,CHANGI,6,19.999999999999996,2024-01-29,17:05:02,1.29565733262976,103.885283049309,1,0,0
9701,TPE,5,16.666666666666664,2024-01-29,17:05:03,1.39466333,103.83474601,1,0,0
9701,BKE,5,16.666666666666664,2024-01-29,17:05:03,1.39466333,103.83474601,1,0,0
2707,WOODLANDS,7,23.33333333333333,2024-01-29,17:05:09,1.3983,103.774247,1,0,1
2707,PIE,5,16.666666666666664,2024-01-29,17:05:09,1.3983,103.774247,1,0,0
3798,CHANGI,0,0.0,2024-01-29,17:05:00,1.29158484,103.8615987,1,0,0
3798,CITY,4,13.333333333333332,2024-01-29,17:05:00,1.29158484,103.8615987,1,0,0
1705,SLE,13,43.33333333333333,2024-01-29,17:05:09,1.375925022,103.8587986,1,0,1
1705,CTE,9,29.999999999999996,2024-01-29,17:05:09,1.375925022,103.8587986,1,0,1
4798,TELOK BLANGAH,0,0.0,2024-01-29,17:05:02,1.25999999687243,103.823611110166,1,0,0
9705,W'LANDS AVE 2,0,0.0,2024-01-29,17:05:09,1.42627712,103.78716637,1,0,0
9705,BKE,1,3.333333333333333,2024-01-29,17:05:09,1.42627712,103.78716637,1,0,0
9705,TPE,6,19.999999999999996,2024-01-29,17:05:09,1.42627712,103.78716637,1,0,0
3795,AYE/CITY,3,9.999999999999998,2024-01-29,17:05:02,1.30145145166066,103.910596320237,1,0,0
3795,MARINE PARADE,2,6.666666666666666,2024-01-29,17:05:02,1.30145145166066,103.910596320237,1,0,0
4712,JOHOR,5,16.666666666666664,2024-01-29,17:05:06,1.341244001,103.6439134,1,0,0
4712,CITY,0,0.0,2024-01-29,17:05:06,1.341244001,103.6439134,1,0,0
4716,JURONG,7,23.33333333333333,2024-01-29,17:05:02,1.32227,103.67453,1,0,1
4716,CITY,0,0.0,2024-01-29,17:05:02,1.32227,103.67453,1,0,0
1701,MOULMEIN,0,0.0,2024-01-29,17:05:08,1.323604823,103.8587802,1,0,0
1701,CITY,5,16.666666666666664,2024-01-29,17:05:08,1.323604823,103.8587802,1,0,0
1701,SLE,30,99.99999999999999,2024-01-29,17:05:08,1.323604823,103.8587802,1,0,1
2705,PIE,3,9.999999999999998,2024-01-29,17:05:08,1.36728572,103.7794698,1,0,0
2705,WOODLANDS,0,0.0,2024-01-29,17:05:08,1.36728572,103.7794698,1,0,0
8702,BKE,3,9.999999999999998,2024-01-29,17:05:06,1.39059,103.7717,1,0,0
8702,PIE,1,3.333333333333333,2024-01-29,17:05:06,1.39059,103.7717,1,0,0
4799,SENTOSA,4,13.333333333333332,2024-01-29,17:05:03,1.26027777363278,103.823888890049,1,0,0
4799,TELOK BLANGAH,0,0.0,2024-01-29,17:05:03,1.26027777363278,103.823888890049,1,0,0
7798,BKE,6,19.999999999999996,2024-01-29,17:05:06,1.39748842,103.85400467,1,0,0
7798,CTE,1,3.333333333333333,2024-01-29,17:05:06,1.39748842,103.85400467,1,0,0
7798,TPE,0,0.0,2024-01-29,17:05:06,1.39748842,103.85400467,1,0,0
3705,XILIN AVE CHANGI COAST RD,5,16.666666666666664,2024-01-29,17:05:00,1.32743,103.97383,1,0,0
3705,CITY,3,9.999999999999998,2024-01-29,17:05:00,1.32743,103.97383,1,0,0
3705,AIRPORT,0,0.0,2024-01-29,17:05:00,1.32743,103.97383,1,0,0
4701,CITY,22,73.33333333333333,2024-01-29,17:05:00,1.2871,103.79633,1,0,1
4701,JURONG,6,19.999999999999996,2024-01-29,17:05:00,1.2871,103.79633,1,0,0
2701,JOHOR,0,0.0,2024-01-29,17:05:07,1.447023728,103.7716543,1,0,0
2701,WOODLANDS,4,13.333333333333332,2024-01-29,17:05:07,1.447023728,103.7716543,1,0,0
1112,LOYANG AVE TOWARDS CHANGI VILLAGE,2,6.666666666666666,2024-01-29,17:05:08,1.3605,103.961412,1,0,0
1112,LOYANG AVE TOWARDS TAMPINES AVE 7 / TPE,7,23.33333333333333,2024-01-29,17:05:08,1.3605,103.961412,1,0,1
7796,PIE,8,26.666666666666664,2024-01-29,17:05:03,1.39559294,103.90515712,1,0,1
7796,SLE,1,3.333333333333333,2024-01-29,17:05:03,1.39559294,103.90515712,1,0,0
7796,PUNGGOL/SENGKANG,1,3.333333333333333,2024-01-29,17:05:03,1.39559294,103.90515712,1,0,0
4707,CITY,7,23.33333333333333,2024-01-29,17:05:05,1.33344648135658,103.652700847056,1,0,1
4707,JOHOR,0,0.0,2024-01-29,17:05:05,1.33344648135658,103.652700847056,1,0,0
3793,CHANGI,7,23.33333333333333,2024-01-29,17:05:02,1.309330837,103.9350504,1,0,1
3793,CITY,1,3.333333333333333,2024-01-29,17:05:02,1.309330837,103.9350504,1,0,0
1006,KPE (ECP),4,13.333333333333332,2024-01-29,17:05:01,1.357098686,103.902042,1,0,0
1006,KPE (TPE),4,13.333333333333332,2024-01-29,17:05:01,1.357098686,103.902042,1,0,0
8701,PIE,6,19.999999999999996,2024-01-29,17:05:06,1.38647,103.74143,1,0,0
8701,BKE,4,13.333333333333332,2024-01-29,17:05:06,1.38647,103.74143,1,0,0
8701,CCK,0,0.0,2024-01-29,17:05:06,1.38647,103.74143,1,0,0
4713,AYE,3,9.999999999999998,2024-01-29,17:05:02,1.347645829,103.6366955,1,0,0
4713,JOHOR,1,3.333333333333333,2024-01-29,17:05:02,1.347645829,103.6366955,1,0,0
3704,CITY,1,3.333333333333333,2024-01-29,17:05:09,1.2958550156561,103.880314665981,1,0,0
3704,CHANGI,6,19.999999999999996,2024-01-29,17:05:09,1.2958550156561,103.880314665981,1,0,0
1001,KPE (TPE),1,3.333333333333333,2024-01-29,17:05:04,1.29531332,103.871146,1,0,0
1001,ECP (CHANGI),0,0.0,2024-01-29,17:05:04,1.29531332,103.871146,1,0,0
1001,ECP (CITY),0,0.0,2024-01-29,17:05:04,1.29531332,103.871146,1,0,0
1702,SLE,18,59.99999999999999,2024-01-29,17:05:08,1.34355015,103.8601984,1,0,1
1702,CITY,14,46.66666666666666,2024-01-29,17:05:08,1.34355015,103.8601984,1,0,1
1002,KPE (ECP),3,9.999999999999998,2024-01-29,17:05:04,1.319541067,103.8785627,1,0,0
1002,PIE (TUAS),0,0.0,2024-01-29,17:05:04,1.319541067,103.8785627,1,0,0
1002,PIE (CHANGI),0,0.0,2024-01-29,17:05:04,1.319541067,103.8785627,1,0,0
7791,SLE,2,6.666666666666666,2024-01-29,17:05:03,1.354245,103.963782,1,0,0
7791,ECP,6,19.999999999999996,2024-01-29,17:05:03,1.354245,103.963782,1,0,0
7791,PIE,2,6.666666666666666,2024-01-29,17:05:03,1.354245,103.963782,1,0,0
4706,JURONG,14,46.66666666666666,2024-01-29,17:05:05,1.29792,103.78205,1,0,1
1706,YIO CHU KANG RD,1,3.333333333333333,2024-01-29,17:05:09,1.38861,103.85806,1,0,0
1706,SLE,6,19.999999999999996,2024-01-29,17:05:09,1.38861,103.85806,1,0,0
1706,AYE,8,26.666666666666664,2024-01-29,17:05:09,1.38861,103.85806,1,0,1
1709,CITY,17,56.66666666666666,2024-01-29,17:05:09,1.31384231654635,103.845603032574,1,0,1
1709,SLE,10,33.33333333333333,2024-01-29,17:05:09,1.31384231654635,103.845603032574,1,0,1
9706,BKE,2,6.666666666666666,2024-01-29,17:05:00,1.41270056,103.80642712,1,0,0
9706,TPE,3,9.999999999999998,2024-01-29,17:05:00,1.41270056,103.80642712,1,0,0
6714,CHANGI,9,29.999999999999996,2024-01-29,17:05:03,1.361742,103.703341,1,0,1
6714,KJE,5,16.666666666666664,2024-01-29,17:05:03,1.361742,103.703341,1,0,0
